        41        21        21        21        21        21        21        21        21        21        21        42
        11         9         X         X         X         X         X         X         X         X         9        12
        11         X         9         X         X         X         X         X         X         9         X        12
        11         X         X         9         X         X         X         X         9         X         X        12
        11         X         X         X         9         X         X         9         X         X         X        12
        11         X         X         X         X         9         9         X         X         X         X        12
        11         X         X         X         X         9         9         X         X         X         X        12
        11         X         X         X         9         X         X         9         X         X         X        12
        11         X         X         9         X         X         X         X         9         X         X        12
        11         X         9         X         X         X         X         X         X         9         X        12
        11         9         X         X         X         X         X         X         X         X         9        12
        29         9         9         9         9         9         9         9         9         9         9        30
