        38        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        42
        11        13         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        18        10
        11         X        13         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        18         X        10
        11         X         X        13         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        18         X         X        10
        11         X         X         X        13         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        18         X         X         X        10
        11         X         X         X         X        13         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        18         X         X         X         X        10
        11         X         X         X         X         X        13         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        18         X         X         X         X         X        10
        11         X         X         X         X         X         X        13         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        18         X         X         X         X         X         X        10
        11         X         X         X         X         X         X         X        13         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        18         X         X         X         X         X         X         X        10
        11         X         X         X         X         X         X         X         X        13         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        18         X         X         X         X         X         X         X         X        10
        11         X         X         X         X         X         X         X         X         X        13         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        18         X         X         X         X         X         X         X         X         X        10
        11         X         X         X         X         X         X         X         X         X         X        13         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        18         X         X         X         X         X         X         X         X         X         X        10
        11         X         X         X         X         X         X         X         X         X         X         X        13         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        18         X         X         X         X         X         X         X         X         X         X         X        10
        11         X         X         X         X         X         X         X         X         X         X         X         X        13         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        18         X         X         X         X         X         X         X         X         X         X         X         X        10
        11         X         X         X         X         X         X         X         X         X         X         X         X         X        13         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        18         X         X         X         X         X         X         X         X         X         X         X         X         X        10
        11         X         X         X         X         X         X         X         X         X         X         X         X         X         X        13         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        18         X         X         X         X         X         X         X         X         X         X         X         X         X         X        10
        11         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        13         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        18         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        10
        11         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        13         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        18         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        10
        11         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        13         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        18         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        10
        11         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        13         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        18         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        10
        11         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        13         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        18         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        10
        11         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        13         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        18         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        10
