        42        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        44
        12        16         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15        15
        12         X        16         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15         X        15
        12         X         X        16         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15         X         X        15
        12         X         X         X        16         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15         X         X         X        15
        12         X         X         X         X        16         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15         X         X         X         X        15
        12         X         X         X         X         X        16         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15         X         X         X         X         X        15
        12         X         X         X         X         X         X        16         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15         X         X         X         X         X         X        15
        12         X         X         X         X         X         X         X        16         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15         X         X         X         X         X         X         X        15
        12         X         X         X         X         X         X         X         X        16         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15         X         X         X         X         X         X         X         X        15
        12         X         X         X         X         X         X         X         X         X        16         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15         X         X         X         X         X         X         X         X         X        15
        12         X         X         X         X         X         X         X         X         X         X        16         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15         X         X         X         X         X         X         X         X         X         X        15
        12         X         X         X         X         X         X         X         X         X         X         X        16         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15         X         X         X         X         X         X         X         X         X         X         X        15
        12         X         X         X         X         X         X         X         X         X         X         X         X        16         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15         X         X         X         X         X         X         X         X         X         X         X         X        15
        12         X         X         X         X         X         X         X         X         X         X         X         X         X        16         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15         X         X         X         X         X         X         X         X         X         X         X         X         X        15
        12         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15
        12         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15
        12         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15
        12         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15
        12         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15
        12         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15
        12         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15
        12         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15
        12         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15
        12         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15
        12         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16         X         X         X         X         X         X         X         X         X         X         X         X         X        15         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15
        12         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16         X         X         X         X         X         X         X         X         X         X         X        15         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15
        12         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16         X         X         X         X         X         X         X         X         X        15         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15
        12         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16         X         X         X         X         X         X         X        15         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15
        12         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16         X         X         X         X         X        15         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15
        12         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16         X         X         X        15         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15
        12         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16         X        15         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15
        12         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        31         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15
        12         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15         X        16         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15
        12         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15         X         X         X        16         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15
        12         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15         X         X         X         X         X        16         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15
        12         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15         X         X         X         X         X         X         X        16         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15
        12         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15         X         X         X         X         X         X         X         X         X        16         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15
        12         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15         X         X         X         X         X         X         X         X         X         X         X        16         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15
        12         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15         X         X         X         X         X         X         X         X         X         X         X         X         X        16         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15
        12         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15
        12         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15
        12         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15
        12         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15
        12         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15
