        42        11        11        11        11        11        11        11        11        11        11        11        11        41
        14        17         X         X         X         X         X         X         X         X         X         X        12        18
        14         X        17         X         X         X         X         X         X         X         X        12         X        18
        14         X         X        17         X         X         X         X         X         X        12         X         X        18
        14         X         X         X        17         X         X         X         X        12         X         X         X        18
        14         X         X         X         X        17         X         X        12         X         X         X         X        18
        14         X         X         X         X         X        17        12         X         X         X         X         X        18
        14         X         X         X         X         X        12        17         X         X         X         X         X        18
        14         X         X         X         X        12         X         X        17         X         X         X         X        18
        14         X         X         X        12         X         X         X         X        17         X         X         X        18
        14         X         X        12         X         X         X         X         X         X        17         X         X        18
        14         X        12         X         X         X         X         X         X         X         X        17         X        18
        14        12         X         X         X         X         X         X         X         X         X         X        17        18
        45        19        19        19        19        19        19        19        19        19        19        19        19        54
