        47        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        46
        17        16         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        12        20
        17         X        16         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        12         X        20
        17         X         X        16         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        12         X         X        20
        17         X         X         X        16         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        12         X         X         X        20
        17         X         X         X         X        16         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        12         X         X         X         X        20
        17         X         X         X         X         X        16         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        12         X         X         X         X         X        20
        17         X         X         X         X         X         X        16         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        12         X         X         X         X         X         X        20
        17         X         X         X         X         X         X         X        16         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        12         X         X         X         X         X         X         X        20
        17         X         X         X         X         X         X         X         X        16         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        12         X         X         X         X         X         X         X         X        20
        17         X         X         X         X         X         X         X         X         X        16         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        12         X         X         X         X         X         X         X         X         X        20
        17         X         X         X         X         X         X         X         X         X         X        16         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        12         X         X         X         X         X         X         X         X         X         X        20
        17         X         X         X         X         X         X         X         X         X         X         X        16         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        12         X         X         X         X         X         X         X         X         X         X         X        20
        17         X         X         X         X         X         X         X         X         X         X         X         X        16         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        12         X         X         X         X         X         X         X         X         X         X         X         X        20
        17         X         X         X         X         X         X         X         X         X         X         X         X         X        16         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        12         X         X         X         X         X         X         X         X         X         X         X         X         X        20
        17         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        12         X         X         X         X         X         X         X         X         X         X         X         X         X         X        20
        17         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        12         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        20
        17         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        12         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        20
        17         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        12         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        20
        17         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        12         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        20
        17         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16         X         X         X         X         X         X         X         X         X         X         X         X         X         X        12         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        20
        17         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16         X         X         X         X         X         X         X         X         X         X         X         X        12         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        20
        17         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16         X         X         X         X         X         X         X         X         X         X        12         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        20
        17         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16         X         X         X         X         X         X         X         X        12         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        20
        17         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16         X         X         X         X         X         X        12         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        20
        17         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16         X         X         X         X        12         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        20
        17         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16         X         X        12         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        20
        17         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16        12         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        20
        17         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        12        16         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        20
        17         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        12         X         X        16         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        20
        17         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        12         X         X         X         X        16         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        20
        17         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        12         X         X         X         X         X         X        16         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        20
        17         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        12         X         X         X         X         X         X         X         X        16         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        20
        17         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        12         X         X         X         X         X         X         X         X         X         X        16         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        20
        17         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        12         X         X         X         X         X         X         X         X         X         X         X         X        16         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        20
        17         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        12         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        20
        17         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        12         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        20
        17         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        12         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        20
        17         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        12         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        20
        17         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        12         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        20
        17         X         X         X         X         X         X         X         X         X         X         X         X         X         X        12         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16         X         X         X         X         X         X         X         X         X         X         X         X         X         X        20
        17         X         X         X         X         X         X         X         X         X         X         X         X         X        12         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16         X         X         X         X         X         X         X         X         X         X         X         X         X        20
        17         X         X         X         X         X         X         X         X         X         X         X         X        12         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16         X         X         X         X         X         X         X         X         X         X         X         X        20
        17         X         X         X         X         X         X         X         X         X         X         X        12         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16         X         X         X         X         X         X         X         X         X         X         X        20
        17         X         X         X         X         X         X         X         X         X         X        12         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16         X         X         X         X         X         X         X         X         X         X        20
        17         X         X         X         X         X         X         X         X         X        12         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16         X         X         X         X         X         X         X         X         X        20
        17         X         X         X         X         X         X         X         X        12         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16         X         X         X         X         X         X         X         X        20
        17         X         X         X         X         X         X         X        12         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16         X         X         X         X         X         X         X        20
        17         X         X         X         X         X         X        12         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16         X         X         X         X         X         X        20
        17         X         X         X         X         X        12         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16         X         X         X         X         X        20
