        28        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        29
         9         8         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         6        12
         9         X         8         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         6         X        12
         9         X         X         8         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         6         X         X        12
         9         X         X         X         8         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         6         X         X         X        12
         9         X         X         X         X         8         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         6         X         X         X         X        12
         9         X         X         X         X         X         8         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         6         X         X         X         X         X        12
         9         X         X         X         X         X         X         8         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         6         X         X         X         X         X         X        12
         9         X         X         X         X         X         X         X         8         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         6         X         X         X         X         X         X         X        12
         9         X         X         X         X         X         X         X         X         8         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         6         X         X         X         X         X         X         X         X        12
         9         X         X         X         X         X         X         X         X         X         8         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         6         X         X         X         X         X         X         X         X         X        12
         9         X         X         X         X         X         X         X         X         X         X         8         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         6         X         X         X         X         X         X         X         X         X         X        12
         9         X         X         X         X         X         X         X         X         X         X         X         8         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         6         X         X         X         X         X         X         X         X         X         X         X        12
         9         X         X         X         X         X         X         X         X         X         X         X         X         8         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         6         X         X         X         X         X         X         X         X         X         X         X         X        12
         9         X         X         X         X         X         X         X         X         X         X         X         X         X         8         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         6         X         X         X         X         X         X         X         X         X         X         X         X         X        12
         9         X         X         X         X         X         X         X         X         X         X         X         X         X         X         8         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         6         X         X         X         X         X         X         X         X         X         X         X         X         X         X        12
         9         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         8         X         X         X         X         X         X         X         X         X         X         X         X         X         X         6         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        12
         9         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         8         X         X         X         X         X         X         X         X         X         X         X         X         6         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        12
         9         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         8         X         X         X         X         X         X         X         X         X         X         6         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        12
